osoba,dob,spol,obrazovanje_sifra,obrazovanje,izvor_vijesti_sifra,izvor_vijesti,povjerenje_medijima,minute_medija,spremnost_platiti
2056,21,ženski,3,viša,5,tisak,3,121,0
2057,80,muški,3,viša,5,tisak,9,363,12
2058,35,muški,1,osnovna,3,TV,3,100,13
2059,79,ženski,1,osnovna,3,TV,3,331,0
2060,67,ženski,2,srednja,4,radio,7,172,20
2061,74,ženski,1,osnovna,1,portal,7,137,17
2062,42,ženski,2,srednja,4,radio,5,236,0
2063,65,muški,2,srednja,4,radio,5,233,7
2064,64,muški,2,srednja,1,portal,10,138,14
2065,42,ženski,2,srednja,5,tisak,5,217,7
2066,54,ženski,2,srednja,3,TV,7,122,21
2067,51,muški,2,srednja,2,društvene mreže,2,163,0
2068,40,muški,3,viša,2,društvene mreže,3,111,0
2069,33,muški,3,viša,2,društvene mreže,2,243,4
2070,50,ženski,2,srednja,1,portal,7,150,0
2071,45,ženski,3,viša,3,TV,7,248,46
2072,20,ženski,2,srednja,2,društvene mreže,6,197,0
2073,29,ženski,1,osnovna,3,TV,4,229,0
2074,77,muški,1,osnovna,4,radio,5,184,44
2075,74,ženski,3,viša,4,radio,7,63,0
2076,18,ženski,3,viša,2,društvene mreže,1,120,0
2077,24,ženski,2,srednja,2,društvene mreže,5,201,28
2078,48,muški,1,osnovna,4,radio,6,201,0
2079,79,muški,2,srednja,3,TV,6,118,0
2080,32,muški,2,srednja,1,portal,2,307,0
2081,33,muški,2,srednja,1,portal,5,118,0
2082,42,ženski,1,osnovna,3,TV,5,214,7
2083,36,muški,1,osnovna,2,društvene mreže,1,244,0
2084,44,ženski,4,diplomska,3,TV,5,152,58
2085,53,muški,2,srednja,1,portal,4,202,0
2086,36,ženski,3,viša,1,portal,7,169,0
2087,80,ženski,4,diplomska,3,TV,6,147,0
2088,29,muški,4,diplomska,1,portal,5,114,0
2089,23,muški,4,diplomska,2,društvene mreže,7,141,0
2090,42,ženski,4,diplomska,1,portal,8,176,39
2091,62,ženski,2,srednja,3,TV,6,90,0
2092,34,muški,3,viša,2,društvene mreže,3,147,72
2093,24,muški,2,srednja,5,tisak,6,108,0
2094,42,muški,2,srednja,1,portal,7,194,0
2095,41,ženski,2,srednja,1,portal,5,187,0
2096,25,ženski,1,osnovna,2,društvene mreže,2,106,0
2097,48,muški,2,srednja,4,radio,5,200,0
2098,26,muški,2,srednja,1,portal,4,172,28
2099,53,muški,2,srednja,4,radio,6,348,29
2100,39,ženski,3,viša,1,portal,6,312,0
2101,30,muški,4,diplomska,1,portal,1,140,0
2102,53,muški,2,srednja,1,portal,6,170,0
2103,31,ženski,2,srednja,2,društvene mreže,1,83,0
2104,28,muški,4,diplomska,2,društvene mreže,4,79,0
2105,62,muški,2,srednja,1,portal,3,112,0
2106,45,muški,1,osnovna,1,portal,2,216,0
2107,31,ženski,4,diplomska,2,društvene mreže,2,199,0
2108,23,muški,4,diplomska,3,TV,5,128,0
2109,46,muški,2,srednja,2,društvene mreže,3,128,54
2110,28,ženski,1,osnovna,1,portal,5,199,0
2111,68,ženski,1,osnovna,1,portal,5,318,0
2112,46,muški,4,diplomska,1,portal,6,85,0
2113,28,ženski,3,viša,2,društvene mreže,5,132,0
2114,21,muški,2,srednja,2,društvene mreže,1,253,0
2115,43,ženski,2,srednja,4,radio,6,326,8
2116,44,ženski,3,viša,2,društvene mreže,6,293,54
2117,80,muški,1,osnovna,3,TV,6,167,0
2118,29,ženski,4,diplomska,2,društvene mreže,4,230,34
2119,38,muški,2,srednja,2,društvene mreže,9,275,16
2120,29,muški,2,srednja,1,portal,2,118,0
2121,31,muški,2,srednja,3,TV,3,136,0
2122,51,muški,2,srednja,3,TV,5,127,0
2123,20,muški,3,viša,2,društvene mreže,5,282,0
2124,26,muški,3,viša,1,portal,6,474,14
2125,40,muški,2,srednja,3,TV,1,237,10
2126,25,muški,2,srednja,2,društvene mreže,5,197,8
2127,39,ženski,1,osnovna,2,društvene mreže,2,137,0
2128,22,muški,4,diplomska,2,društvene mreže,3,83,19
2129,27,ženski,4,diplomska,4,radio,5,98,0
2130,23,muški,3,viša,1,portal,5,93,13
2131,51,ženski,1,osnovna,3,TV,5,133,0
2132,80,muški,2,srednja,3,TV,3,163,11
2133,48,ženski,2,srednja,5,tisak,6,90,0
2134,41,ženski,2,srednja,1,portal,5,139,0
2135,35,ženski,3,viša,1,portal,9,98,0
2136,80,ženski,2,srednja,1,portal,6,196,0
2137,33,muški,4,diplomska,3,TV,4,116,0
2138,38,ženski,2,srednja,1,portal,4,231,0
2139,26,ženski,1,osnovna,1,portal,3,140,14
2140,37,muški,3,viša,2,društvene mreže,7,76,22
2141,32,ženski,2,srednja,3,TV,6,62,0
2142,65,ženski,2,srednja,3,TV,8,263,0
2143,30,muški,2,srednja,2,društvene mreže,3,285,0
2144,39,ženski,2,srednja,2,društvene mreže,1,74,0
2145,24,ženski,3,viša,2,društvene mreže,2,118,12
2146,30,muški,3,viša,2,društvene mreže,3,94,0
2147,31,ženski,2,srednja,1,portal,5,211,0
2148,22,muški,4,diplomska,2,društvene mreže,5,155,0
2149,80,ženski,2,srednja,1,portal,1,125,0
2150,38,ženski,2,srednja,1,portal,2,171,0
2151,49,ženski,4,diplomska,2,društvene mreže,5,123,0
2152,64,muški,3,viša,3,TV,7,255,0
2153,25,muški,2,srednja,1,portal,6,179,0
2154,31,muški,3,viša,4,radio,9,302,0
2155,18,muški,3,viša,2,društvene mreže,1,78,10
2156,28,ženski,2,srednja,1,portal,6,154,0
2157,37,ženski,2,srednja,1,portal,7,74,22
2158,34,ženski,1,osnovna,5,tisak,4,148,0
2159,80,ženski,2,srednja,3,TV,8,111,0
2160,47,ženski,2,srednja,1,portal,6,179,9
2161,33,ženski,4,diplomska,5,tisak,4,97,12
2162,28,muški,2,srednja,1,portal,3,121,0
2163,28,ženski,2,srednja,2,društvene mreže,5,140,0
2164,35,muški,2,srednja,4,radio,5,60,0
2165,39,muški,3,viša,2,društvene mreže,2,227,0
2166,59,ženski,1,osnovna,3,TV,7,188,54
2167,41,ženski,4,diplomska,1,portal,6,171,0
2168,25,muški,2,srednja,2,društvene mreže,3,81,0
2169,75,muški,2,srednja,1,portal,6,164,15
2170,51,ženski,2,srednja,1,portal,2,164,25
2171,23,ženski,2,srednja,2,društvene mreže,5,131,0
2172,64,muški,2,srednja,1,portal,3,108,0
2173,51,ženski,2,srednja,1,portal,6,227,24
2174,21,muški,2,srednja,4,radio,4,143,0
2175,40,ženski,1,osnovna,1,portal,5,160,0
2176,31,ženski,2,srednja,1,portal,5,154,25
2177,68,ženski,2,srednja,5,tisak,9,196,0
2178,31,muški,4,diplomska,1,portal,2,109,0
2179,55,ženski,2,srednja,3,TV,5,172,0
2180,25,muški,2,srednja,1,portal,3,129,27
2181,36,muški,3,viša,2,društvene mreže,6,108,0
2182,24,muški,2,srednja,2,društvene mreže,4,54,14
2183,40,muški,3,viša,1,portal,1,224,0
2184,49,muški,2,srednja,1,portal,8,143,0
2185,66,ženski,3,viša,3,TV,5,196,0
2186,20,muški,4,diplomska,5,tisak,6,217,0
2187,46,ženski,3,viša,3,TV,9,113,0
2188,39,muški,2,srednja,3,TV,5,202,0
2189,24,muški,1,osnovna,2,društvene mreže,3,212,0
2190,38,ženski,3,viša,2,društvene mreže,6,165,9
2191,32,muški,2,srednja,5,tisak,5,105,0
2192,23,ženski,2,srednja,1,portal,4,103,0
2193,44,ženski,2,srednja,1,portal,5,230,0
2194,53,ženski,3,viša,2,društvene mreže,1,246,0
2195,31,ženski,3,viša,2,društvene mreže,8,139,28
2196,48,muški,2,srednja,2,društvene mreže,5,159,0
2197,56,ženski,2,srednja,3,TV,6,196,21
2198,34,ženski,3,viša,2,društvene mreže,8,73,27
2199,32,muški,3,viša,1,portal,3,153,0
2200,47,ženski,1,osnovna,3,TV,3,130,0
2201,63,muški,2,srednja,3,TV,4,99,0
2202,77,ženski,2,srednja,3,TV,7,83,0
2203,38,muški,3,viša,2,društvene mreže,8,288,14
2204,80,ženski,2,srednja,3,TV,7,305,20
2205,27,muški,1,osnovna,2,društvene mreže,2,122,0
2206,45,muški,3,viša,1,portal,1,250,40
2207,71,muški,1,osnovna,3,TV,7,256,0
2208,50,muški,3,viša,2,društvene mreže,8,211,0
2209,43,ženski,3,viša,5,tisak,5,126,10
2210,80,ženski,3,viša,3,TV,5,338,11
2211,48,ženski,3,viša,3,TV,7,123,13
2212,80,ženski,2,srednja,3,TV,5,112,26
2213,35,ženski,2,srednja,4,radio,6,205,0
2214,26,ženski,1,osnovna,2,društvene mreže,6,165,43
2215,68,muški,2,srednja,2,društvene mreže,5,141,0
2216,22,ženski,4,diplomska,1,portal,5,123,0
2217,35,muški,3,viša,4,radio,6,130,27
2218,49,muški,1,osnovna,2,društvene mreže,2,281,0
2219,55,ženski,3,viša,2,društvene mreže,2,278,0
2220,45,muški,2,srednja,1,portal,8,427,7
2221,25,ženski,2,srednja,2,društvene mreže,5,125,0
2222,80,ženski,4,diplomska,4,radio,8,251,0
2223,51,muški,4,diplomska,3,TV,4,239,0
2224,71,ženski,2,srednja,4,radio,6,106,0
2225,38,ženski,2,srednja,4,radio,3,215,0
2226,57,muški,3,viša,3,TV,5,188,0
2227,55,ženski,1,osnovna,3,TV,5,120,0
2228,26,muški,1,osnovna,2,društvene mreže,4,160,0
2229,21,muški,1,osnovna,2,društvene mreže,6,135,10
2230,35,muški,2,srednja,3,TV,3,97,0
2231,33,muški,4,diplomska,1,portal,5,186,0
2232,42,ženski,1,osnovna,3,TV,6,201,22
2233,27,ženski,2,srednja,2,društvene mreže,3,161,21
2234,39,ženski,2,srednja,5,tisak,2,164,0
2235,56,muški,2,srednja,3,TV,6,306,27
2236,40,ženski,3,viša,1,portal,6,184,22
2237,19,ženski,4,diplomska,2,društvene mreže,7,138,17
2238,28,muški,3,viša,5,tisak,7,98,78
2239,27,muški,2,srednja,1,portal,3,134,0
2240,43,ženski,4,diplomska,1,portal,6,186,0
2241,72,ženski,3,viša,3,TV,3,246,0
2242,30,muški,3,viša,2,društvene mreže,5,99,29
2243,31,muški,3,viša,2,društvene mreže,5,115,0
2244,19,ženski,3,viša,1,portal,3,223,30
2245,29,muški,4,diplomska,2,društvene mreže,4,82,0
2246,24,muški,1,osnovna,1,portal,4,215,0
2247,31,ženski,4,diplomska,3,TV,5,78,0
2248,75,muški,2,srednja,3,TV,2,112,0
2249,31,muški,1,osnovna,5,tisak,5,192,0
2250,41,muški,2,srednja,4,radio,6,167,0
2251,28,ženski,3,viša,4,radio,5,116,0
2252,42,ženski,2,srednja,1,portal,5,116,0
2253,63,muški,4,diplomska,5,tisak,5,278,0
2254,28,muški,2,srednja,2,društvene mreže,5,115,0
2255,31,muški,4,diplomska,2,društvene mreže,4,112,0
2256,36,ženski,3,viša,3,TV,6,160,0
2257,29,ženski,3,viša,4,radio,9,126,0
2258,51,muški,2,srednja,3,TV,6,132,42
2259,41,muški,1,osnovna,3,TV,6,126,18
2260,40,ženski,1,osnovna,2,društvene mreže,3,172,0
2261,38,ženski,3,viša,1,portal,3,151,0
2262,47,ženski,2,srednja,5,tisak,4,183,0
2263,35,muški,2,srednja,2,društvene mreže,5,87,0
2264,51,muški,2,srednja,2,društvene mreže,2,192,0
2265,49,muški,3,viša,1,portal,4,136,0
2266,58,muški,2,srednja,1,portal,9,83,0
2267,49,muški,2,srednja,2,društvene mreže,1,125,0
2268,56,muški,1,osnovna,4,radio,6,144,20
2269,45,muški,1,osnovna,2,društvene mreže,5,202,0
2270,69,muški,1,osnovna,5,tisak,3,121,0
2271,66,muški,3,viša,3,TV,6,210,0
2272,22,ženski,2,srednja,3,TV,5,146,0
2273,27,muški,2,srednja,1,portal,3,273,0
2274,31,ženski,1,osnovna,1,portal,5,171,0
2275,41,muški,2,srednja,1,portal,8,147,0
2276,34,muški,4,diplomska,3,TV,6,166,0
2277,54,muški,1,osnovna,1,portal,5,114,0
2278,49,ženski,4,diplomska,2,društvene mreže,7,110,0
2279,33,ženski,3,viša,2,društvene mreže,3,144,28
2280,80,muški,1,osnovna,3,TV,7,322,6
2281,37,muški,1,osnovna,1,portal,3,131,0
2282,38,muški,2,srednja,1,portal,5,224,0
2283,80,ženski,4,diplomska,3,TV,3,84,0
2284,24,ženski,1,osnovna,3,TV,2,127,0
2285,80,muški,2,srednja,3,TV,9,293,0
2286,48,ženski,2,srednja,5,tisak,2,242,0
2287,39,muški,3,viša,1,portal,2,284,0
2288,67,ženski,3,viša,5,tisak,6,286,0
2289,44,ženski,2,srednja,1,portal,7,141,0
2290,30,ženski,1,osnovna,1,portal,6,125,32
2291,26,ženski,3,viša,1,portal,1,197,40
2292,79,muški,4,diplomska,3,TV,8,121,0
2293,31,muški,1,osnovna,2,društvene mreže,4,85,0
2294,61,muški,2,srednja,5,tisak,10,133,0
2295,72,ženski,3,viša,4,radio,7,137,0
2296,33,ženski,1,osnovna,2,društvene mreže,3,301,0
2297,58,muški,2,srednja,5,tisak,4,164,0
2298,49,ženski,4,diplomska,5,tisak,8,154,13
2299,80,muški,2,srednja,1,portal,6,235,19
2300,27,ženski,3,viša,1,portal,2,249,0
2301,41,muški,1,osnovna,1,portal,3,120,0
2302,60,muški,2,srednja,3,TV,7,217,18
2303,28,ženski,1,osnovna,2,društvene mreže,4,224,0
2304,34,muški,2,srednja,2,društvene mreže,5,112,28
2305,60,ženski,2,srednja,4,radio,4,150,9
2306,78,muški,1,osnovna,3,TV,6,194,0
2307,22,ženski,3,viša,2,društvene mreže,2,153,0
2308,30,ženski,4,diplomska,3,TV,3,143,0
2309,47,ženski,1,osnovna,2,društvene mreže,9,186,0
2310,53,muški,1,osnovna,1,portal,4,181,26
2311,45,muški,4,diplomska,4,radio,5,105,0
2312,45,ženski,3,viša,3,TV,4,172,0
2313,74,ženski,4,diplomska,3,TV,6,292,14
2314,44,ženski,3,viša,3,TV,8,239,0
2315,36,ženski,4,diplomska,3,TV,5,180,0
2316,33,muški,2,srednja,1,portal,4,172,0
2317,43,muški,4,diplomska,3,TV,5,101,0
2318,33,muški,1,osnovna,1,portal,4,178,0
2319,20,muški,2,srednja,1,portal,6,97,0
2320,47,muški,3,viša,4,radio,9,63,0
2321,37,muški,4,diplomska,4,radio,6,163,0
2322,37,ženski,4,diplomska,2,društvene mreže,6,223,19
2323,47,ženski,2,srednja,2,društvene mreže,5,213,5
2324,43,ženski,2,srednja,1,portal,5,153,0
2325,57,muški,2,srednja,3,TV,7,105,14
2326,47,muški,4,diplomska,4,radio,6,53,0
2327,27,ženski,4,diplomska,3,TV,5,416,0
2328,48,muški,2,srednja,3,TV,5,102,0
2329,28,ženski,1,osnovna,3,TV,4,80,0
2330,39,muški,3,viša,2,društvene mreže,9,149,0
2331,34,ženski,2,srednja,3,TV,1,193,0
2332,34,muški,3,viša,3,TV,6,143,0
2333,56,ženski,2,srednja,1,portal,5,122,0
2334,46,ženski,3,viša,2,društvene mreže,5,57,74
2335,34,ženski,2,srednja,4,radio,10,108,31
2336,31,ženski,2,srednja,5,tisak,2,110,0
2337,61,ženski,4,diplomska,3,TV,3,298,0
2338,69,muški,1,osnovna,1,portal,4,163,59
2339,42,ženski,2,srednja,2,društvene mreže,7,112,24
2340,44,muški,2,srednja,1,portal,7,151,0
2341,50,muški,2,srednja,2,društvene mreže,4,229,0
2342,60,muški,1,osnovna,2,društvene mreže,5,151,0
2343,71,ženski,2,srednja,3,TV,7,188,0
2344,48,ženski,1,osnovna,4,radio,7,30,35
2345,51,ženski,4,diplomska,2,društvene mreže,6,170,0
2346,30,muški,2,srednja,3,TV,4,171,0
2347,31,ženski,2,srednja,3,TV,4,88,0
2348,27,muški,2,srednja,1,portal,5,110,0
2349,56,muški,2,srednja,4,radio,6,127,0
2350,44,muški,3,viša,1,portal,7,189,0
2351,50,muški,4,diplomska,5,tisak,5,251,0
2352,62,muški,4,diplomska,3,TV,8,184,0
2353,61,ženski,2,srednja,2,društvene mreže,4,149,0
2354,50,ženski,2,srednja,1,portal,2,138,0
2355,29,muški,3,viša,5,tisak,4,346,4
2356,61,ženski,3,viša,5,tisak,6,144,9
2357,80,muški,2,srednja,3,TV,6,206,0
2358,31,muški,2,srednja,3,TV,5,165,0
2359,23,muški,2,srednja,2,društvene mreže,4,132,0
2360,69,ženski,3,viša,3,TV,5,127,0
2361,41,muški,2,srednja,1,portal,2,227,0
2362,20,muški,2,srednja,1,portal,4,96,0
2363,38,ženski,2,srednja,2,društvene mreže,4,120,45
2364,25,muški,2,srednja,5,tisak,7,206,0
2365,29,ženski,2,srednja,2,društvene mreže,1,161,0
2366,44,muški,1,osnovna,1,portal,4,185,0
2367,80,ženski,4,diplomska,3,TV,9,160,20
2368,53,ženski,2,srednja,1,portal,7,120,0
2369,36,muški,1,osnovna,2,društvene mreže,4,117,0
2370,35,ženski,2,srednja,2,društvene mreže,3,173,0
2371,36,muški,3,viša,1,portal,1,231,0
2372,28,ženski,3,viša,1,portal,5,193,29
2373,42,ženski,4,diplomska,4,radio,9,116,0
2374,28,ženski,4,diplomska,2,društvene mreže,2,49,0
2375,80,muški,2,srednja,4,radio,6,134,17
2376,53,ženski,4,diplomska,1,portal,6,262,0
2377,73,ženski,4,diplomska,3,TV,5,186,0
2378,51,ženski,2,srednja,2,društvene mreže,7,99,0
2379,57,muški,2,srednja,3,TV,4,88,0
2380,37,ženski,2,srednja,2,društvene mreže,2,127,0
2381,45,muški,1,osnovna,1,portal,6,216,35
2382,61,muški,2,srednja,3,TV,6,174,26
2383,75,muški,2,srednja,3,TV,5,229,0
2384,31,ženski,2,srednja,1,portal,5,125,0
2385,50,muški,2,srednja,2,društvene mreže,3,161,0
2386,80,ženski,4,diplomska,3,TV,3,112,0
2387,51,ženski,4,diplomska,2,društvene mreže,4,177,14
2388,34,muški,3,viša,2,društvene mreže,2,149,87
2389,58,muški,2,srednja,5,tisak,5,281,0
2390,23,muški,2,srednja,1,portal,3,163,0
2391,35,ženski,2,srednja,1,portal,3,150,0
2392,27,ženski,2,srednja,2,društvene mreže,7,106,0
2393,67,muški,2,srednja,1,portal,4,287,0
2394,20,ženski,3,viša,3,TV,7,104,0
2395,54,muški,4,diplomska,3,TV,7,371,0
2396,44,muški,2,srednja,3,TV,8,82,36
2397,34,ženski,3,viša,2,društvene mreže,1,262,0
2398,69,muški,2,srednja,3,TV,7,290,0
2399,38,ženski,2,srednja,4,radio,5,82,0
2400,56,ženski,2,srednja,1,portal,8,142,0
2401,78,ženski,2,srednja,3,TV,3,106,0
2402,75,muški,3,viša,3,TV,6,233,0
2403,53,ženski,3,viša,5,tisak,2,320,0
2404,31,ženski,2,srednja,1,portal,4,205,0
2405,40,ženski,2,srednja,3,TV,5,37,0
2406,25,ženski,2,srednja,1,portal,2,125,0
2407,29,muški,2,srednja,2,društvene mreže,3,67,0
2408,60,ženski,2,srednja,3,TV,6,144,0
2409,39,ženski,1,osnovna,3,TV,4,146,0
2410,29,ženski,2,srednja,4,radio,4,270,0
2411,77,ženski,2,srednja,3,TV,7,182,19
2412,48,ženski,2,srednja,3,TV,6,203,26
2413,78,muški,4,diplomska,3,TV,10,290,15
2414,53,ženski,2,srednja,1,portal,3,80,0
2415,66,ženski,4,diplomska,3,TV,10,182,16
2416,57,muški,3,viša,4,radio,4,224,0
2417,80,muški,1,osnovna,5,tisak,6,168,0
2418,52,muški,1,osnovna,5,tisak,3,165,0
2419,58,ženski,4,diplomska,1,portal,8,238,0
2420,31,muški,2,srednja,2,društvene mreže,5,74,0
2421,44,ženski,4,diplomska,1,portal,5,178,0
2422,29,muški,1,osnovna,2,društvene mreže,2,359,0
2423,24,ženski,1,osnovna,2,društvene mreže,7,228,0
2424,31,ženski,2,srednja,2,društvene mreže,5,107,0
2425,70,muški,3,viša,3,TV,7,148,0
2426,40,ženski,3,viša,3,TV,8,130,23
2427,45,ženski,2,srednja,1,portal,5,196,0
2428,33,ženski,3,viša,2,društvene mreže,6,125,0
2429,31,muški,2,srednja,3,TV,8,162,0
2430,35,ženski,1,osnovna,3,TV,7,294,13
2431,28,muški,1,osnovna,2,društvene mreže,2,92,0
2432,23,ženski,2,srednja,1,portal,6,235,0
2433,21,ženski,3,viša,2,društvene mreže,1,96,0
2434,70,muški,4,diplomska,5,tisak,8,203,0
2435,32,ženski,3,viša,5,tisak,3,152,0
2436,80,ženski,1,osnovna,3,TV,7,157,0
2437,61,muški,2,srednja,3,TV,1,147,0
2438,46,ženski,1,osnovna,2,društvene mreže,8,185,32
2439,39,ženski,3,viša,1,portal,8,140,0
2440,61,muški,2,srednja,4,radio,6,191,0
2441,43,ženski,4,diplomska,1,portal,2,112,0
2442,29,ženski,2,srednja,2,društvene mreže,3,98,0
2443,41,ženski,2,srednja,2,društvene mreže,7,134,0
2444,31,ženski,1,osnovna,3,TV,3,135,0
2445,30,ženski,3,viša,2,društvene mreže,5,69,16
2446,74,muški,3,viša,3,TV,10,107,0
2447,57,ženski,3,viša,1,portal,5,95,27
2448,36,ženski,2,srednja,2,društvene mreže,1,147,0
2449,30,muški,4,diplomska,1,portal,1,82,0
2450,34,muški,2,srednja,4,radio,6,100,0
2451,20,ženski,2,srednja,2,društvene mreže,2,89,0
2452,30,muški,1,osnovna,1,portal,6,170,0
2453,33,ženski,1,osnovna,5,tisak,3,125,80
2454,37,ženski,2,srednja,2,društvene mreže,2,59,0
2455,41,ženski,1,osnovna,4,radio,5,150,0
2456,60,muški,2,srednja,3,TV,5,131,8
2457,80,muški,3,viša,3,TV,8,155,0
2458,20,ženski,2,srednja,2,društvene mreže,3,89,20
2459,23,ženski,2,srednja,1,portal,7,101,0
2460,31,muški,2,srednja,2,društvene mreže,4,101,13
2461,39,ženski,3,viša,3,TV,6,96,0
2462,33,muški,2,srednja,1,portal,2,88,0
2463,44,muški,2,srednja,1,portal,4,111,0
2464,28,ženski,1,osnovna,1,portal,3,200,0
2465,31,ženski,2,srednja,3,TV,1,98,0
2466,69,muški,1,osnovna,3,TV,7,579,0
2467,24,ženski,4,diplomska,2,društvene mreže,2,140,0
2468,54,ženski,2,srednja,1,portal,3,166,0
2469,30,ženski,2,srednja,4,radio,6,173,0
2470,46,ženski,4,diplomska,2,društvene mreže,1,196,0
2471,32,muški,2,srednja,2,društvene mreže,4,167,0
2472,23,muški,3,viša,1,portal,5,96,14
2473,53,ženski,1,osnovna,1,portal,7,379,15
2474,37,ženski,1,osnovna,2,društvene mreže,5,192,0
2475,34,muški,2,srednja,1,portal,1,160,0
2476,27,muški,2,srednja,1,portal,8,164,17
2477,33,muški,2,srednja,1,portal,1,138,0
2478,54,muški,1,osnovna,4,radio,8,267,0
2479,32,muški,2,srednja,2,društvene mreže,5,160,0
2480,26,muški,3,viša,1,portal,8,198,0
2481,34,ženski,3,viša,1,portal,5,274,0
2482,28,muški,2,srednja,1,portal,4,173,0
2483,40,muški,1,osnovna,2,društvene mreže,4,195,0
2484,33,muški,4,diplomska,4,radio,5,108,6
2485,36,ženski,2,srednja,3,TV,6,145,0
2486,49,muški,2,srednja,3,TV,3,175,0
2487,25,muški,2,srednja,2,društvene mreže,7,102,0
2488,80,ženski,3,viša,3,TV,9,272,0
2489,55,muški,2,srednja,1,portal,3,124,0
2490,80,ženski,3,viša,3,TV,3,195,21
2491,36,muški,2,srednja,1,portal,6,153,0
2492,22,ženski,1,osnovna,2,društvene mreže,1,163,0
2493,50,ženski,2,srednja,1,portal,2,206,0
2494,45,muški,3,viša,3,TV,8,84,0
2495,80,ženski,3,viša,1,portal,7,395,0
2496,36,ženski,2,srednja,4,radio,4,110,12
2497,30,ženski,2,srednja,2,društvene mreže,1,204,0
2498,44,ženski,2,srednja,1,portal,6,219,0
2499,80,ženski,4,diplomska,3,TV,8,224,0
2500,25,muški,2,srednja,2,društvene mreže,4,145,0
2501,33,ženski,4,diplomska,1,portal,7,127,0
2502,75,muški,4,diplomska,3,TV,6,270,0
2503,35,ženski,1,osnovna,2,društvene mreže,7,192,0
2504,26,muški,2,srednja,2,društvene mreže,5,188,0
2505,24,ženski,1,osnovna,1,portal,6,167,0
2506,41,ženski,2,srednja,3,TV,5,215,37
2507,41,ženski,2,srednja,2,društvene mreže,2,102,0
2508,40,muški,2,srednja,2,društvene mreže,6,200,30
2509,26,muški,1,osnovna,1,portal,4,128,0
2510,59,ženski,3,viša,4,radio,9,160,53
2511,55,muški,1,osnovna,3,TV,5,208,0
2512,68,ženski,2,srednja,3,TV,2,342,0
2513,40,ženski,3,viša,1,portal,3,295,0
2514,46,muški,2,srednja,1,portal,6,128,0
2515,29,ženski,2,srednja,1,portal,9,125,0
2516,31,muški,2,srednja,1,portal,7,129,17
2517,42,muški,2,srednja,2,društvene mreže,6,117,29
2518,48,muški,2,srednja,1,portal,5,220,0
2519,29,ženski,1,osnovna,2,društvene mreže,1,81,0
2520,58,ženski,4,diplomska,3,TV,7,170,0
2521,32,ženski,2,srednja,1,portal,5,253,0
2522,40,ženski,3,viša,4,radio,6,79,17
2523,45,muški,2,srednja,2,društvene mreže,5,217,0
2524,36,ženski,3,viša,4,radio,7,122,13
2525,50,muški,3,viša,3,TV,4,181,18
2526,45,muški,3,viša,3,TV,5,147,0
2527,38,ženski,2,srednja,3,TV,7,56,0
2528,20,ženski,1,osnovna,3,TV,3,246,0
2529,55,ženski,4,diplomska,3,TV,2,119,0
2530,49,ženski,1,osnovna,3,TV,4,314,0
2531,24,muški,2,srednja,1,portal,1,298,0
2532,68,muški,2,srednja,2,društvene mreže,4,189,0
2533,70,ženski,3,viša,3,TV,7,125,0
2534,53,ženski,3,viša,4,radio,7,152,0
2535,24,ženski,2,srednja,4,radio,8,186,0
2536,39,ženski,3,viša,1,portal,10,278,0
2537,76,muški,1,osnovna,3,TV,6,163,0
2538,44,muški,3,viša,5,tisak,8,113,29
2539,57,muški,4,diplomska,1,portal,7,131,0
2540,80,muški,1,osnovna,3,TV,6,280,37
2541,41,ženski,3,viša,1,portal,3,187,0
2542,67,muški,2,srednja,1,portal,7,234,0
2543,80,muški,4,diplomska,3,TV,3,237,26
2544,47,muški,4,diplomska,1,portal,5,190,0
2545,22,ženski,2,srednja,1,portal,5,225,22
2546,48,ženski,2,srednja,1,portal,4,158,0
2547,53,ženski,2,srednja,5,tisak,8,138,7
2548,36,ženski,2,srednja,3,TV,4,127,0
2549,27,ženski,2,srednja,3,TV,4,116,0
2550,59,ženski,3,viša,4,radio,9,145,44
2551,36,muški,3,viša,2,društvene mreže,2,174,0
2552,26,ženski,2,srednja,2,društvene mreže,6,90,0
2553,69,ženski,2,srednja,5,tisak,5,202,0
2554,39,ženski,3,viša,2,društvene mreže,5,137,0
2555,33,ženski,3,viša,1,portal,6,87,13
2556,32,ženski,4,diplomska,1,portal,5,140,0
2557,39,ženski,2,srednja,3,TV,5,341,0
2558,33,ženski,2,srednja,2,društvene mreže,4,62,16
2559,56,ženski,4,diplomska,1,portal,7,155,13
2560,67,muški,2,srednja,1,portal,4,157,0
2561,44,muški,2,srednja,3,TV,8,165,20
2562,43,ženski,3,viša,3,TV,1,119,0
2563,27,muški,2,srednja,4,radio,7,204,31
2564,43,muški,3,viša,2,društvene mreže,2,276,0
2565,47,muški,1,osnovna,4,radio,6,282,0
2566,43,ženski,3,viša,4,radio,2,202,0
2567,48,muški,1,osnovna,1,portal,5,140,0
2568,45,muški,4,diplomska,2,društvene mreže,3,165,0
2569,44,ženski,2,srednja,1,portal,3,323,0
2570,34,muški,1,osnovna,2,društvene mreže,4,212,0
2571,47,ženski,1,osnovna,4,radio,6,211,0
2572,21,muški,2,srednja,2,društvene mreže,2,162,0
2573,41,ženski,1,osnovna,1,portal,3,135,0
2574,47,muški,2,srednja,1,portal,5,130,0
2575,80,muški,1,osnovna,3,TV,7,206,0
